Date,Open,High,Low,Close,Adj Close,Volume,Epic
02/03/2015,1.540618,1.54221,1.535438,1.540618,1.540618,0,GBPUSD
03/03/2015,1.536098,1.539812,1.534613,1.53591,1.53591,0,GBPUSD
04/03/2015,1.536807,1.537279,1.526321,1.536665,1.536665,0,GBPUSD
05/03/2015,1.526461,1.526811,1.522464,1.526508,1.526508,0,GBPUSD
06/03/2015,1.524832,1.52532,1.506001,1.524762,1.524762,0,GBPUSD
09/03/2015,1.505797,1.512631,1.505208,1.505775,1.505775,0,GBPUSD
10/03/2015,1.510871,1.510894,1.503759,1.510483,1.510483,0,GBPUSD
11/03/2015,1.507614,1.509662,1.493496,1.508205,1.508205,0,GBPUSD
12/03/2015,1.493607,1.502855,1.489625,1.493295,1.493295,0,GBPUSD
13/03/2015,1.48927,1.489359,1.471454,1.489403,1.489403,0,GBPUSD
16/03/2015,1.475514,1.481899,1.475013,1.475579,1.475579,0,GBPUSD
17/03/2015,1.48247,1.484494,1.472971,1.48258,1.48258,0,GBPUSD
18/03/2015,1.4751,1.477039,1.4637,1.475209,1.475209,0,GBPUSD
19/03/2015,1.495998,1.501006,1.473188,1.4962,1.4962,0,GBPUSD
20/03/2015,1.476429,1.492315,1.472537,1.476167,1.476167,0,GBPUSD
23/03/2015,1.494523,1.495909,1.48423,1.494322,1.494322,0,GBPUSD
24/03/2015,1.495618,1.498352,1.485663,1.495193,1.495193,0,GBPUSD
25/03/2015,1.483591,1.495439,1.483591,1.483393,1.483393,0,GBPUSD
26/03/2015,1.487741,1.49925,1.481481,1.487741,1.487741,0,GBPUSD
27/03/2015,1.485685,1.492315,1.479947,1.48584,1.48584,0,GBPUSD
30/03/2015,1.488516,1.488516,1.476233,1.488583,1.488583,0,GBPUSD
31/03/2015,1.481021,1.486768,1.475797,1.480911,1.480911,0,GBPUSD
01/04/2015,1.483393,1.487298,1.474709,1.482953,1.482953,0,GBPUSD
02/04/2015,1.483503,1.486989,1.478175,1.483679,1.483679,0,GBPUSD
03/04/2015,1.482975,1.49459,1.481262,1.483063,1.483063,0,GBPUSD
06/04/2015,1.49227,1.498172,1.490291,1.493072,1.493072,0,GBPUSD
07/04/2015,1.488959,1.491914,1.483239,1.48907,1.48907,0,GBPUSD
08/04/2015,1.482206,1.497006,1.482206,1.482382,1.482382,0,GBPUSD
09/04/2015,1.487719,1.488605,1.472971,1.487852,1.487852,0,GBPUSD
10/04/2015,1.471735,1.472602,1.459002,1.471497,1.471497,0,GBPUSD
